asq,s1sq,s2sq,s3sq,s4sq,s5sq,s6sq,ac,s1c,s2c,s3c,s4c,s5c,s6c,at,s1t,s2t,s3t,s4t,s5t,s6t,am,s1m,s2m,s3m,s4m,s5m,s6m,s1p,s2p,s3p,s4p,s5p,s6p,no
697,522,494,636,626,641,654,20,20,20,20,18,20,20,57,8,11,22,37,166,298,89155,1140,1971,8565,16742,82109,163785,0.748923959827834,0.708751793400287,0.912482065997131,0.898134863701578,0.919655667144907,0.938307030129125,52
1272,1025,1109,1127,1118,1164,1163,50,50,50,50,50,50,50,144,9,12,30,48,255,466,89730,2432,4231,17576,34322,168055,335331,0.805817610062893,0.87185534591195,0.886006289308176,0.878930817610063,0.915094339622642,0.914308176100629,53
1981,1032,1664,1816,1816,1821,1821,100,36,100,100,100,100,100,287,10,14,45,59,300,745,90439,3929,7256,30858,60314,294666,587688,0.520949015648662,0.839979808177688,0.91670873296315,0.91670873296315,0.919232710752145,0.919232710752145,54
3119,2055,2495,2662,2822,2851,2866,200,200,200,200,200,200,200,568,28,15,60,73,416,961,91577,7404,13175,55893,109817,537969,1073663,0.658865020840013,0.799935876883617,0.853478679063803,0.904777172170568,0.914075024046169,0.918884257774928,55
169,130,146,155,165,166,166,10,10,10,10,10,10,10,1227,259,165,290,440,1962,3974,1610562,254,438,1890,3645,18072,36021,0.769230769230769,0.863905325443787,0.91715976331361,0.976331360946746,0.982248520710059,0.982248520710059,56
300,256,219,270,285,290,290,20,20,20,20,20,20,20,2376,250,205,368,604,3087,6307,1610693,542,868,3735,7198,35423,70594,0.853333333333333,0.73,0.9,0.95,0.966666666666667,0.966666666666667,57
624,512,493,580,591,598,600,50,50,50,50,50,50,50,5202,235,214,513,779,3317,6095,1611017,1254,2040,9049,17560,86172,171781,0.820512820512821,0.790064102564103,0.92948717948718,0.947115384615385,0.958333333333333,0.961538461538462,58
1049,814,739,932,1011,1013,1011,100,73,100,100,100,100,100,8739,257,288,609,968,3963,11242,1611442,2459,3978,17214,33565,164682,328294,0.775977121067684,0.704480457578646,0.888465204957102,0.963775023832221,0.965681601525262,0.963775023832221,59
1735,1024,1422,1650,1646,1647,1647,200,200,159,200,200,200,200,15246,242,316,765,1443,7120,9709,1612128,4291,7839,33219,64258,314833,627651,0.590201729106628,0.819596541786744,0.951008645533141,0.948703170028818,0.949279538904899,0.949279538904899,60
241,131,223,223,234,234,234,10,10,10,10,10,10,10,135,17,20,39,56,244,486,208094,277,700,2656,5205,25421,50757,0.54356846473029,0.925311203319502,0.925311203319502,0.970954356846473,0.970954356846473,0.970954356846473,61
436,262,329,397,420,430,433,20,20,20,20,20,20,20,178,18,27,68,74,348,663,208289,513,1151,5013,9715,47906,95706,0.600917431192661,0.754587155963303,0.910550458715596,0.963302752293578,0.986238532110092,0.993119266055046,62
857,518,739,775,792,821,826,50,50,50,50,50,50,50,421,25,31,70,131,713,1073,208710,1481,2659,10872,21193,103697,206724,0.604434072345391,0.862310385064177,0.904317386231039,0.924154025670945,0.957992998833139,0.963827304550759,63
1291,1030,1109,1127,1171,1210,1215,100,100,100,100,100,100,100,837,27,35,89,155,770,1890,209144,2595,4385,17995,35200,172304,343971,0.797831138652208,0.859024012393494,0.872966692486445,0.907048799380325,0.93725793958172,0.941130906274206,64
1799,1156,1663,1650,1649,1680,1681,200,94,200,200,200,200,200,1707,46,44,138,228,1396,3450,209652,4009,7031,29349,57330,280612,559481,0.642579210672596,0.924402445803224,0.917176209005003,0.916620344635909,0.933852140077821,0.934408004446915,65
